,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,REFERENCE: File Raw Data T&D Reliability Index JUN-AUG,,,,,,,,,,,,,,,,,,,,,,,,**These values have been restated to tie to numbers provided in Nov. 4th Technical Conference**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Periodo de 06-01-2021 a 06-30-2021 ,,,,,,,,Periodo de 07-01-2021 a 07-31-2021 ,,,,,,,,Periodo de 08-01-2021 a 08-31-2021 ,,,,,,,,Periodo de 09-01-2021 a 09-30-2021 ,,,,,,,,Periodo de 10-01-2021 a 10-31-2021 ,,,,,,,,Periodo de 11-01-2021 a 11-30-2021 ,,,,,,,,Periodo de 12-01-2021 a 12-31-2021 ,,,,,,,,Periodo de 01-01-2022 a 01-31-2022,,,,,,,,Periodo de 02-01-2022 a 02-28-2022 ,,,,,,,,Periodo de 03-01-2022 a 03-31-2022 ,,,,,,,,Periodo de 04-01-2022 a 04-30-2022 ,,,,,,,,Periodo de 05-01-2022 a 05-31-2022 ,,,,,,,,Periodo de 06-01-2022 a 06-31-2022,,,,,,,,Periodo de 07-01-2022 a 07-31-2022 ,,,,,,,,Periodo de 08-01-2022 a 08-31-2022 ,,,,,,,,Periodo de 09-01-2022 a 09-30-2022 ,,,,,,,,Periodo de 10-01-2022 a 10-31-2022 ,,,,,,,,Periodo de 11-01-2022 a 11-30-2022 ,,,,,,,,Periodo de 12-01-2022 a 12-31-2022 ,,,,,,,,Periodo de 01-01-2023 a 01-31-2023,,,,,,,,Periodo de 02-01-2023 a 02-28-2023 ,,,,,,,,Periodo de 03-01-2023 a 03-31-2023 ,,,,,,,,Periodo de 04-01-2023 a 04-30-2023 ,,,,,,,,Periodo de 05-01-2023 a 05-31-2023 ,,,,,,,,Periodo de 06-01-2023 a 06-30-2023,,,,,,,,Periodo de 07-01-2023 a 07-31-2023,,,,,,,,Periodo de 08-01-2023 a 08-31-2023,,,,,,,,Periodo de 09-01-2023 a 09-31-2023,,,,,,,,Periodo de 10-01-2023 a 10-31-2023,,,,,,,,Periodo de 11-01-2023 a 11-30-2023,,,,,,,,Periodo de 12-01-2023 a 12-31-2023,,,,,,,,Periodo de 01-01-2024 a 01-31-2024,,,,,,,,Periodo de 02-01-2024 a 02-29-2024 ,,,,,,,,Periodo de 03-01-2024 a 03-31-2024 ,,,,,,,,Periodo de 4-01-2024 a 4-30-2024,,,,,,,,Periodo de 5-01-2024 a 5-31-2024,,,,,,,,Periodo de 6-01-2023 a 6-30-2024,,,,,,
,,,DISTRIBUTION INDEX PER DISTRICT,,,,TRANSMISSION SUBSTATION INDEX PER DISTRICT,,,,DISTRIBUTION INDEX PER DISTRICT,,,,TRANSMISSION SUBSTATION INDEX PER DISTRICT,,,,DISTRIBUTION INDEX PER DISTRICT,,,,TRANSMISSION SUBSTATION INDEX PER DISTRICT,,,,DISTRIBUTION INDEX PER DISTRICT,,,,TRANSMISSION SUBSTATION INDEX PER DISTRICT,,,,DISTRIBUTION INDEX PER DISTRICT,,,,TRANSMISSION SUBSTATION INDEX PER DISTRICT,,,,DISTRIBUTION INDEX PER DISTRICT,,,,TRANSMISSION SUBSTATION INDEX PER DISTRICT,,,,DISTRIBUTION INDEX PER DISTRICT,,,,TRANSMISSION SUBSTATION INDEX PER DISTRICT,,,,DISTRIBUTION INDEX PER DISTRICT,,,,TRANSMISSION SUBSTATION INDEX PER DISTRICT,,,,DISTRIBUTION INDEX PER DISTRICT,,,,TRANSMISSION SUBSTATION INDEX PER DISTRICT,,,,DISTRIBUTION INDEX PER DISTRICT,,,,TRANSMISSION SUBSTATION INDEX PER DISTRICT,,,,DISTRIBUTION INDEX PER DISTRICT,,,,TRANSMISSION SUBSTATION INDEX PER DISTRICT,,,,DISTRIBUTION INDEX PER DISTRICT,,,,TRANSMISSION SUBSTATION INDEX PER DISTRICT,,,,DISTRIBUTION INDEX PER DISTRICT,,,,TRANSMISSION SUBSTATION INDEX PER DISTRICT,,,,DISTRIBUTION INDEX PER DISTRICT,,,,TRANSMISSION SUBSTATION INDEX PER DISTRICT,,,,DISTRIBUTION INDEX PER DISTRICT,,,,TRANSMISSION SUBSTATION INDEX PER DISTRICT,,,,DISTRIBUTION INDEX PER DISTRICT,,,,TRANSMISSION SUBSTATION INDEX PER DISTRICT,,,,DISTRIBUTION INDEX PER DISTRICT,,,,TRANSMISSION SUBSTATION INDEX PER DISTRICT,,,,DISTRIBUTION INDEX PER DISTRICT,,,,TRANSMISSION SUBSTATION INDEX PER DISTRICT,,,,DISTRIBUTION INDEX PER DISTRICT,,,,TRANSMISSION SUBSTATION INDEX PER DISTRICT,,,,DISTRIBUTION INDEX PER DISTRICT,,,,TRANSMISSION SUBSTATION INDEX PER DISTRICT,,,,DISTRIBUTION INDEX PER DISTRICT,,,,TRANSMISSION SUBSTATION INDEX PER DISTRICT,,,,DISTRIBUTION INDEX PER DISTRICT,,,,TRANSMISSION SUBSTATION INDEX PER DISTRICT,,,,DISTRIBUTION INDEX PER DISTRICT,,,,TRANSMISSION SUBSTATION INDEX PER DISTRICT,,,,DISTRIBUTION INDEX PER DISTRICT,,,,TRANSMISSION SUBSTATION INDEX PER DISTRICT,,,,DISTRIBUTION INDEX PER DISTRICT,,,,TRANSMISSION SUBSTATION INDEX PER DISTRICT,,,,DISTRIBUTION INDEX PER DISTRICT,,,,TRANSMISSION SUBSTATION INDEX PER DISTRICT,,,,DISTRIBUTION INDEX PER DISTRICT,,,,TRANSMISSION SUBSTATION INDEX PER DISTRICT,,,,DISTRIBUTION INDEX PER DISTRICT,,,,TRANSMISSION SUBSTATION INDEX PER DISTRICT,,,,DISTRIBUTION INDEX PER DISTRICT,,,,TRANSMISSION SUBSTATION INDEX PER DISTRICT,,,,DISTRIBUTION INDEX PER DISTRICT,,,,TRANSMISSION SUBSTATION INDEX PER DISTRICT,,,,DISTRIBUTION INDEX PER DISTRICT,,,,TRANSMISSION SUBSTATION INDEX PER DISTRICT,,,,DISTRIBUTION INDEX PER DISTRICT,,,,TRANSMISSION SUBSTATION INDEX PER DISTRICT,,,,DISTRIBUTION INDEX PER DISTRICT,,,,TRANSMISSION SUBSTATION INDEX PER DISTRICT,,,,DISTRIBUTION INDEX PER DISTRICT,,,,TRANSMISSION SUBSTATION INDEX PER DISTRICT,,,,DISTRIBUTION INDEX PER DISTRICT,,,,TRANSMISSION SUBSTATION INDEX PER DISTRICT,,,,DISTRIBUTION INDEX PER DISTRICT,,,,TRANSMISSION SUBSTATION INDEX PER DISTRICT,,,,DISTRIBUTION INDEX PER DISTRICT,,,,TRANSMISSION SUBSTATION INDEX PER DISTRICT,,
,,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI,,DISTRITO,SAIDI,SAIFI
,,,ARECIBO,168.59,0.45,,ARECIBO,35.69,0.11,,ARECIBO,172.28,0.61,,ARECIBO,35.22,0.22,,ARECIBO,147.07,0.55,,ARECIBO,32.48,0.35,,ARECIBO,366.95,1.73,,ARECIBO,32.23,0.08,,ARECIBO,166.33,0.49,,ARECIBO,0.80,0.13,,ARECIBO,85.63,0.42,,ARECIBO,144.10,0.79,,ARECIBO,189.97,0.68,,ARECIBO,113.46,0.58,,ARECIBO,79.01,0.28,,ARECIBO,39.40,0.29,,ARECIBO,80.94,0.30,,ARECIBO,5.45,0.05,,ARECIBO,137.59,0.58,,ARECIBO,72.21,0.32,,ARECIBO,119.41,0.36,,ARECIBO,52.73,0.88,,ARECIBO,123.57,0.62,,ARECIBO,77.83,0.74,,ARECIBO,233.01,0.93,,ARECIBO,101.39,0.52,,ARECIBO,102.08,0.35,,ARECIBO,31.39,0.10,,ARECIBO,124.41,0.60,,ARECIBO,7.12,0.16,,ARECIBO,57.05,0.29,,ARECIBO,111.11,0.89,,ARECIBO,33.03,0.17,,ARECIBO,0.00,0.00,,ARECIBO,56.60,0.18,,ARECIBO,87.43,0.62,,ARECIBO,50.14,0.27,,ARECIBO,7.07,0.10,,ARECIBO,87.15,0.43,,ARECIBO,51.58,0.34,,ARECIBO,55.33,0.43,,ARECIBO,40.41,0.11,,ARECIBO,35.37,0.17,,ARECIBO,10.83,0.11,,ARECIBO,33.21,0.16,,ARECIBO,7.46,0.26,,ARECIBO,39.43,0.19,,ARECIBO,17.59,0.17,,ARECIBO,76.05,0.30,,ARECIBO,0.00,0.00,,ARECIBO,61.74,0.38,,ARECIBO,26.67,0.06,,ARECIBO,79.73,0.33,,ARECIBO,7.77,0.02,,ARECIBO,42.80,0.26,,ARECIBO,8.69,0.05,,ARECIBO,32.40,0.18,,ARECIBO,6.38,0.06,,ARECIBO,52.87,0.23,,ARECIBO,4.96,0.06,,ARECIBO,62.40,0.29,,ARECIBO,17.93,0.07,,ARECIBO,42.54,0.22,,ARECIBO,0.00,0.00,,ARECIBO,37.52,0.17,,ARECIBO,39.65,0.11,,ARECIBO,86.71,0.38,,ARECIBO,18.44,0.10,,ARECIBO,60.12,0.27,,ARECIBO,34.55,0.33,,ARECIBO,168.35,0.61,,ARECIBO,59.73,0.10,,ARECIBO,144.82,0.43,,ARECIBO,24.63,0.27
,,,UTUADO,661.64,0.72,,UTUADO,80.81,0.96,,UTUADO,357.19,0.58,,UTUADO,24.79,0.12,,UTUADO,165.85,0.24,,UTUADO,70.46,0.39,,UTUADO,378.90,1.78,,UTUADO,0.00,0.00,,UTUADO,257.87,1.40,,UTUADO,0.48,0.08,,UTUADO,58.39,0.16,,UTUADO,13.28,0.55,,UTUADO,68.32,0.30,,UTUADO,0.72,0.08,,UTUADO,31.42,0.12,,UTUADO,0.00,0.00,,UTUADO,39.92,0.22,,UTUADO,28.00,0.29,,UTUADO,27.69,0.13,,UTUADO,46.72,0.55,,UTUADO,88.04,0.46,,UTUADO,30.08,0.66,,UTUADO,151.88,0.55,,UTUADO,15.12,0.16,,UTUADO,93.89,0.30,,UTUADO,122.53,1.29,,UTUADO,323.14,0.80,,UTUADO,110.76,0.79,,UTUADO,278.24,0.80,,UTUADO,181.70,1.87,,UTUADO,87.25,0.31,,UTUADO,2.67,0.24,,UTUADO,86.71,0.35,,UTUADO,0.00,0.00,,UTUADO,54.41,0.21,,UTUADO,22.61,0.08,,UTUADO,138.07,0.49,,UTUADO,253.86,0.92,,UTUADO,41.67,0.20,,UTUADO,0.00,0.00,,UTUADO,60.22,0.15,,UTUADO,31.31,0.37,,UTUADO,26.27,0.17,,UTUADO,23.36,0.47,,UTUADO,49.46,0.20,,UTUADO,36.33,0.29,,UTUADO,128.12,0.36,,UTUADO,222.61,1.15,,UTUADO,237.42,0.68,,UTUADO,15.12,0.69,,UTUADO,225.29,0.90,,UTUADO,171.28,1.06,,UTUADO,161.97,0.51,,UTUADO,109.97,0.71,,UTUADO,122.29,0.41,,UTUADO,44.75,1.50,,UTUADO,173.36,0.55,,UTUADO,57.61,0.95,,UTUADO,277.77,0.55,,UTUADO,43.75,0.42,,UTUADO,112.68,0.20,,UTUADO,0.00,0.00,,UTUADO,54.14,0.14,,UTUADO,0.00,0.00,,UTUADO,171.88,0.56,,UTUADO,20.54,0.37,,UTUADO,129.75,0.49,,UTUADO,30.07,1.09,,UTUADO,98.13,0.29,,UTUADO,103.00,0.34,,UTUADO,176.91,0.48,,UTUADO,8.12,0.08,,UTUADO,313.21,0.66,,UTUADO,75.02,1.74
,,,BAYAMÓN,165.86,0.45,,BAYAMÓN,20.86,0.29,,BAYAMÓN,112.84,0.43,,BAYAMÓN,36.62,0.18,,BAYAMÓN,115.65,0.54,,BAYAMÓN,146.43,0.81,,BAYAMÓN,166.39,0.64,,BAYAMÓN,23.45,0.11,,BAYAMÓN,117.60,0.45,,BAYAMÓN,51.59,0.44,,BAYAMÓN,98.71,0.42,,BAYAMÓN,43.46,0.38,,BAYAMÓN,114.32,0.42,,BAYAMÓN,60.94,0.49,,BAYAMÓN,55.15,0.33,,BAYAMÓN,6.04,0.08,,BAYAMÓN,165.40,0.78,,BAYAMÓN,64.13,0.19,,BAYAMÓN,107.38,0.59,,BAYAMÓN,27.74,0.17,,BAYAMÓN,135.93,0.50,,BAYAMÓN,40.16,0.07,,BAYAMÓN,180.96,0.79,,BAYAMÓN,25.74,0.25,,BAYAMÓN,133.50,0.58,,BAYAMÓN,52.86,0.37,,BAYAMÓN,186.90,1.08,,BAYAMÓN,36.94,0.16,,BAYAMÓN,209.94,1.01,,BAYAMÓN,58.17,0.25,,BAYAMÓN,94.68,0.56,,BAYAMÓN,49.78,0.27,,BAYAMÓN,40.00,0.16,,BAYAMÓN,0.00,0.00,,BAYAMÓN,88.99,0.60,,BAYAMÓN,20.21,0.34,,BAYAMÓN,109.91,0.62,,BAYAMÓN,3.48,0.15,,BAYAMÓN,63.79,0.37,,BAYAMÓN,6.24,0.04,,BAYAMÓN,48.29,0.34,,BAYAMÓN,18.84,0.09,,BAYAMÓN,75.12,0.55,,BAYAMÓN,42.02,0.33,,BAYAMÓN,129.89,0.71,,BAYAMÓN,33.52,0.09,,BAYAMÓN,158.16,0.67,,BAYAMÓN,43.17,0.41,,BAYAMÓN,156.90,0.66,,BAYAMÓN,28.77,0.32,,BAYAMÓN,116.55,0.53,,BAYAMÓN,27.14,0.28,,BAYAMÓN,163.89,0.77,,BAYAMÓN,19.10,0.37,,BAYAMÓN,111.53,0.50,,BAYAMÓN,16.32,0.22,,BAYAMÓN,113.09,0.38,,BAYAMÓN,46.48,0.18,,BAYAMÓN,36.43,0.22,,BAYAMÓN,12.09,0.16,,BAYAMÓN,130.55,0.52,,BAYAMÓN,21.85,0.09,,BAYAMÓN,59.54,0.43,,BAYAMÓN,12.42,0.17,,BAYAMÓN,51.41,0.23,,BAYAMÓN,41.39,0.21,,BAYAMÓN,66.54,0.32,,BAYAMÓN,0.00,0.00,,BAYAMÓN,130.81,0.62,,BAYAMÓN,12.68,0.10,,BAYAMÓN,113.31,0.50,,BAYAMÓN,28.22,0.25,,BAYAMÓN,156.57,0.60,,BAYAMÓN,33.75,0.20
,,,VEGA BAJA,92.64,0.42,,VEGA BAJA,22.01,0.23,,VEGA BAJA,25.64,0.07,,VEGA BAJA,0.00,0.00,,VEGA BAJA,62.15,0.32,,VEGA BAJA,25.45,0.18,,VEGA BAJA,127.06,0.38,,VEGA BAJA,0.00,0.00,,VEGA BAJA,47.49,0.16,,VEGA BAJA,13.57,0.08,,VEGA BAJA,84.68,0.40,,VEGA BAJA,7.85,0.07,,VEGA BAJA,54.75,0.27,,VEGA BAJA,74.93,0.26,,VEGA BAJA,44.22,0.19,,VEGA BAJA,0.00,0.00,,VEGA BAJA,42.72,0.28,,VEGA BAJA,10.40,0.08,,VEGA BAJA,35.72,0.13,,VEGA BAJA,16.63,0.10,,VEGA BAJA,43.38,0.17,,VEGA BAJA,23.17,0.33,,VEGA BAJA,71.60,0.28,,VEGA BAJA,3.44,0.03,,VEGA BAJA,54.11,0.24,,VEGA BAJA,24.29,0.24,,VEGA BAJA,61.85,0.22,,VEGA BAJA,12.66,0.09,,VEGA BAJA,65.63,0.33,,VEGA BAJA,9.33,0.22,,VEGA BAJA,36.63,0.16,,VEGA BAJA,0.00,0.00,,VEGA BAJA,34.08,0.21,,VEGA BAJA,0.00,0.00,,VEGA BAJA,41.09,0.21,,VEGA BAJA,14.80,0.11,,VEGA BAJA,41.12,0.40,,VEGA BAJA,0.00,0.00,,VEGA BAJA,21.93,0.20,,VEGA BAJA,4.25,0.04,,VEGA BAJA,40.63,0.18,,VEGA BAJA,16.75,0.13,,VEGA BAJA,48.13,0.34,,VEGA BAJA,10.05,0.13,,VEGA BAJA,69.74,0.26,,VEGA BAJA,136.72,0.32,,VEGA BAJA,84.00,0.42,,VEGA BAJA,23.08,0.19,,VEGA BAJA,121.20,0.41,,VEGA BAJA,24.80,0.39,,VEGA BAJA,103.74,0.45,,VEGA BAJA,32.95,0.29,,VEGA BAJA,176.76,0.74,,VEGA BAJA,53.27,0.46,,VEGA BAJA,64.64,0.26,,VEGA BAJA,21.40,0.27,,VEGA BAJA,99.48,0.42,,VEGA BAJA,20.93,0.27,,VEGA BAJA,77.11,0.52,,VEGA BAJA,55.51,0.51,,VEGA BAJA,83.13,0.42,,VEGA BAJA,17.67,0.06,,VEGA BAJA,62.44,0.23,,VEGA BAJA,4.66,0.05,,VEGA BAJA,63.05,0.15,,VEGA BAJA,0.00,0.00,,VEGA BAJA,60.69,0.31,,VEGA BAJA,2.62,0.22,,VEGA BAJA,95.82,0.64,,VEGA BAJA,2.21,0.04,,VEGA BAJA,72.09,0.30,,VEGA BAJA,31.54,0.41,,VEGA BAJA,111.03,0.50,,VEGA BAJA,92.53,0.85
,,,BARRANQUITAS,57.03,0.10,,BARRANQUITAS,0.72,0.02,,BARRANQUITAS,52.39,0.12,,BARRANQUITAS,0.00,0.00,,BARRANQUITAS,52.94,0.12,,BARRANQUITAS,15.70,0.22,,BARRANQUITAS,63.86,0.16,,BARRANQUITAS,17.88,0.29,,BARRANQUITAS,47.76,0.11,,BARRANQUITAS,5.33,0.09,,BARRANQUITAS,48.84,0.18,,BARRANQUITAS,43.24,0.15,,BARRANQUITAS,43.73,0.22,,BARRANQUITAS,32.56,0.12,,BARRANQUITAS,39.48,0.17,,BARRANQUITAS,0.00,0.00,,BARRANQUITAS,40.62,0.14,,BARRANQUITAS,47.63,0.08,,BARRANQUITAS,28.41,0.16,,BARRANQUITAS,48.57,0.13,,BARRANQUITAS,27.61,0.09,,BARRANQUITAS,0.00,0.00,,BARRANQUITAS,36.41,0.12,,BARRANQUITAS,0.00,0.00,,BARRANQUITAS,47.81,0.17,,BARRANQUITAS,0.00,0.00,,BARRANQUITAS,48.58,0.20,,BARRANQUITAS,14.18,0.15,,BARRANQUITAS,55.56,0.30,,BARRANQUITAS,0.00,0.00,,BARRANQUITAS,34.67,0.17,,BARRANQUITAS,0.00,0.00,,BARRANQUITAS,22.99,0.11,,BARRANQUITAS,0.00,0.00,,BARRANQUITAS,35.94,0.18,,BARRANQUITAS,0.00,0.00,,BARRANQUITAS,25.79,0.12,,BARRANQUITAS,22.50,0.28,,BARRANQUITAS,19.25,0.09,,BARRANQUITAS,0.00,0.00,,BARRANQUITAS,27.73,0.20,,BARRANQUITAS,0.00,0.00,,BARRANQUITAS,26.26,0.13,,BARRANQUITAS,0.00,0.00,,BARRANQUITAS,88.33,0.35,,BARRANQUITAS,34.56,0.08,,BARRANQUITAS,91.40,0.36,,BARRANQUITAS,31.38,0.37,,BARRANQUITAS,166.32,0.70,,BARRANQUITAS,40.32,0.25,,BARRANQUITAS,114.70,0.47,,BARRANQUITAS,46.77,0.15,,BARRANQUITAS,107.16,0.49,,BARRANQUITAS,38.01,0.39,,BARRANQUITAS,100.43,0.39,,BARRANQUITAS,12.73,0.15,,BARRANQUITAS,86.62,0.33,,BARRANQUITAS,0.00,0.00,,BARRANQUITAS,143.80,0.40,,BARRANQUITAS,20.25,0.14,,BARRANQUITAS,73.66,0.34,,BARRANQUITAS,64.16,0.33,,BARRANQUITAS,49.47,0.25,,BARRANQUITAS,8.00,0.08,,BARRANQUITAS,145.87,0.41,,BARRANQUITAS,9.28,0.08,,BARRANQUITAS,60.94,0.22,,BARRANQUITAS,20.16,0.08,,BARRANQUITAS,80.01,0.23,,BARRANQUITAS,1.77,0.17,,BARRANQUITAS,89.62,0.43,,BARRANQUITAS,5.14,0.06,,BARRANQUITAS,180.21,0.56,,BARRANQUITAS,9.97,0.27
,,,CAGUAS,263.95,0.36,,CAGUAS,49.47,0.74,,CAGUAS,211.13,0.37,,CAGUAS,50.12,0.33,,CAGUAS,191.63,0.74,,CAGUAS,31.33,0.26,,CAGUAS,211.69,0.56,,CAGUAS,16.54,0.07,,CAGUAS,199.10,0.45,,CAGUAS,30.44,0.46,,CAGUAS,123.83,0.45,,CAGUAS,5.68,0.13,,CAGUAS,111.93,0.41,,CAGUAS,24.22,0.16,,CAGUAS,75.93,0.35,,CAGUAS,32.60,0.24,,CAGUAS,123.60,0.43,,CAGUAS,0.76,0.08,,CAGUAS,133.27,0.56,,CAGUAS,17.43,0.12,,CAGUAS,95.75,0.43,,CAGUAS,0.00,0.00,,CAGUAS,121.29,0.49,,CAGUAS,21.20,0.13,,CAGUAS,153.36,0.57,,CAGUAS,14.00,0.14,,CAGUAS,158.72,0.62,,CAGUAS,53.05,0.55,,CAGUAS,98.88,0.40,,CAGUAS,9.38,0.13,,CAGUAS,122.82,0.45,,CAGUAS,28.11,0.30,,CAGUAS,81.92,0.31,,CAGUAS,0.00,0.00,,CAGUAS,90.49,0.35,,CAGUAS,9.25,0.10,,CAGUAS,80.63,0.43,,CAGUAS,38.85,0.44,,CAGUAS,40.07,0.27,,CAGUAS,0.00,0.00,,CAGUAS,73.73,0.32,,CAGUAS,0.00,0.00,,CAGUAS,58.18,0.20,,CAGUAS,30.23,0.22,,CAGUAS,78.85,0.39,,CAGUAS,0.00,0.00,,CAGUAS,88.30,0.45,,CAGUAS,16.93,0.20,,CAGUAS,108.31,0.45,,CAGUAS,4.08,0.43,,CAGUAS,127.71,0.50,,CAGUAS,24.32,0.25,,CAGUAS,108.84,0.40,,CAGUAS,22.99,0.13,,CAGUAS,81.35,0.37,,CAGUAS,0.00,0.00,,CAGUAS,118.20,0.51,,CAGUAS,4.27,0.06,,CAGUAS,60.56,0.24,,CAGUAS,0.00,0.00,,CAGUAS,57.78,0.29,,CAGUAS,0.31,0.04,,CAGUAS,59.31,0.27,,CAGUAS,0.26,0.04,,CAGUAS,70.20,0.30,,CAGUAS,13.31,0.25,,CAGUAS,139.17,0.31,,CAGUAS,34.34,0.24,,CAGUAS,128.12,0.55,,CAGUAS,19.59,0.27,,CAGUAS,154.71,0.62,,CAGUAS,25.70,0.28,,CAGUAS,149.46,0.65,,CAGUAS,115.31,0.79
